Walking speed measurements;;;;;;;;;;
ID ;Start time;End time;Total time;Speed (km/h);Gender;Age;Road class;Place;Notes;Data collector
1;5;19;14.0;5.14;Female;Adult;2;Arabia;;Elias
2;15;56;41.0;1.76;Female;Elderly;2;Arabia;with a kid;Elias
3;17;32;15.0;4.80;Male;Adult;2;Arabia;;Elias
4;00;14;14.0;5.14;Male;Adult;2;Arabia;;Elias
5;39;59;20.0;3.60;Male;Adult;2;Arabia;;Elias
6;09;25;16.0;4.50;Male;Elderly;2;Arabia;;Elias
7;29;41;12.0;6.00;Male;Adult;2;Arabia;;Elias
8;45;57;12.0;6.00;Male;Adult;2;Arabia;;Elias
9;29;49;20.0;3.60;Male;Young adult;2;Arabia;;Elias
10;48;62;14.0;5.14;Female;Adult;2;Arabia;;Elias
11;15;30;15.0;4.80;Male;Adult;2;Arabia;;Elias
12;52;66;14.0;5.14;Female;Adult;2;Arabia;;Elias
13;11;24;13.0;5.54;Female;Adult;2;Arabia;;Elias
14;26;39;13.0;5.54;Female;Adult;2;Arabia;;Elias
15;31;50;19.0;3.79;Female;Elderly;2;Arabia;;Elias
16;43;58;15.0;4.80;Female;Young adult;2;Arabia;;Elias
17;23;43;20.0;3.60;Female;Elderly;2;Arabia;;Elias
18;07;35;28.0;2.57;Female;Elderly;2;Arabia;with a stroller;Elias
19;01;16;15.0;4.80;Female;Adult;2;Arabia;;Elias
20;46;62;16.0;4.50;Male;Adult;2;Arabia;;Elias
21;06;19;13.0;5.54;Female;Adult;2;Arabia;;Elias
22;13;26;13.0;5.54;Female;Adult;2;Arabia;;Elias
23;26;38;12.0;6.00;Female;Adult;2;Arabia;;Elias
24;36;50;14.0;5.14;Male;Adult;2;Arabia;;Elias
25;33;46;13.0;5.54;Male;Adult;2;Arabia;;Elias
26;32;45;13.0;5.54;Male;Adult;2;Arabia;;Elias
27;12;27;15.0;4.80;Female;Adult;2;Arabia;;Elias
28;27;43;16.0;4.50;Female;Adult;2;Arabia;;Elias
29;54;68;14.0;5.14;Female;Adult;2;Arabia;;Elias
30;37;52;15.0;4.80;Female;Adult;2;Arabia;;Elias
31;56;73;17.0;4.24;Male;Adult;2;Arabia;;Elias
32;28;42;14.0;5.14;Male;Adult;2;Arabia;;Elias
33;39;59;20.0;3.60;Male;Elderly;2;Arabia;;Elias
34;40;60;20.0;3.60;Male;Adult;2;Arabia;with a phone;Elias
35;06;19;13.0;5.54;Female;Young adult;2;Arabia;;Elias
36;59;73;14.0;5.14;Male;Adult;4;Arabianranta;;Elias
37;15;31;16.0;4.50;Female;Adult;4;Arabianranta;;Elias
38;08;22;14.0;5.14;Male;Adult;4;Arabianranta;with a dog;Elias
39;46;65;19.0;3.79;Male;Adult;4;Arabianranta;;Elias
40;34;46;12.0;6.00;Female;Adult;4;Arabianranta;;Elias
41;34;55;21.0;3.43;Female;Kid;4;Arabianranta;;Elias
42;44;61;17.0;4.24;Female;Elderly;4;Arabianranta;;Elias
43;59;73;14.0;5.14;Female;Adult;4;Arabianranta;;Elias
44;06;17;11.0;6.55;Female;Adult;4;Arabianranta;;Elias
45;07;23;16.0;4.50;Female;Elderly;4;Arabianranta;;Elias
46;31;46;15.0;4.80;Female;Adult;4;Arabianranta;with  baby carriage ;Elias
47;24;39;15.0;4.80;Male;Adult;4;Arabianranta;;Elias
48;05;23;18.0;4.00;Female;Elderly;4;Arabianranta;;Elias
49;56;72;16.0;4.50;Male;Adult;4;Arabianranta;;Elias
50;58;74;16.0;4.50;Female;Adult;4;Arabianranta;;Elias
51;14;28;14.0;5.14;Male;Adult;4;Arabianranta;;Elias
52;27;42;15.0;4.80;Female;Adult;4;Arabianranta;;Elias
53;41;58;17.0;4.24;Male;Adult;4;Arabianranta;;Elias
54;54;68;14.0;5.14;Female;Elderly;4;Arabianranta;;Elias
55;14;26;12.0;6.00;Female;Adult;4;Arabianranta;;Elias
56;51;67;16.0;4.50;Female;Elderly;4;Arabianranta;;Elias
57;07;24;17.0;4.24;Female;Adult;4;Arabianranta;with  baby carriage ;Elias
58;42;57;15.0;4.80;Female;Elderly;4;Arabianranta;;Elias
59;22;36;14.0;5.14;Male;Adult;1;Koskelantie;;Elias
60;54;81;27.0;2.67;Female;Kid;1;Koskelantie;;Elias
61;12;27;15.0;4.80;Male;Adult;1;Koskelantie;;Elias
